Batch4/Carb_Nets_Examples_0_0_1,carb,36
Batch5/Cyberbullying_Community_4_0_0,victims,29
deafvideo_3/deaf_power_rob_3099,va,30
Batch9/Coffee_Chat_0_0_5,affairs,26
youtube_4/amy_cohen_elfron_5764,dc,38
Batch4/CAN_DEAF_DRIVE_THRU_2_0_2,did,11
aslized/ben_jarashow_1745,yll,9
Batch4/Carb_Nets_Examples_13_0_1,carb,28
Batch5/CRTC_2013-155_Jodi_5_0_5,rate,25
Batch6/ASL_Films_Fest_1_0_3,or,8
Batch6/For_Pearlene_Utley_8_0_5,paleo,25
youtube_5/storm_smith_6274,mbuk,9
deafvideo_3/joy_life_3245,geobio,37
Batch9/Coffee_Chat_1_0_1,so,12
deafvideo_1/daniel_lundberg_0971,drugs,22
Batch6/Approaches_to_Assessment_8_0_1,holistic,26
deafvideo_1/daniel_lundberg_0961,biochemistry,56
youtube_4/amy_cohen_elfron_5774,supt,34
aslized/unknown_female_1_0306,jasll,44
Batch4/Disc_Golf_WeekendExperience_9_0_7,ok ok ok,28
Batch5/CRTC_2013-155_Jodi_6_0_1,own,24
misc_2/genie_gertz_2882,movement,26
Batch5/CRTC_2013-155_Jodi_4_0_2,vs,10
Batch6/For_Pearlene_Utley_9_0_3,cup,19
youtube_4/monica_gaina_5118,als,20
misc_2/genie_gertz_2877,ok,12
Batch6/1st_part-Intonation_in_3_0_11,sd,11
Batch6/Act_Now_to_Protect_Schools_6_0_6,twitter,39
Batch4/CAN_DEAF_DRIVE_THRU_3_0_0,th,18
misc_2/genie_gertz_2930,infomed,41
youtube_6/carrie_lou_garberoglio_6333,so,7
Batch4/CAN_DEAF_DRIVE_THRU_3_0_2,so,6
Batch4/Disc_Golf_WeekendExperience_9_0_8,puts,30
deafvideo_5/turnyourbrainon_7125,atheist,36
Batch6/AFA_Rally_2011_2_0_4,asl,31
misc_2/genie_gertz_2925,bikehoks,28
Batch5/CRTC_2013-155_Jodi_8_0_1,it,5
Batch6/2nd_part-Simultaneous_communication_impacts_0_0_3,all,13
Batch6/AFA_Rally_2011_9_0_4,brick,24
Batch6/ASL_Films_Fest_0_0_5,youth,22
Batch6/Approaches_to_Assessment_2_0_2,journals,24
Batch5/Deaf_advocacy_and_2_0_2,lyme,21
youtube_6/unknown_female_2_6412,alvaro espinoza,97
Batch9/TEDxIslay-Wayne_Betts_Jr_15_0_4,effects,20
Batch6/Approaches_to_Assessment_11_0_3,product,19
deafvideo_5/deafvideotv_7290,sk,62
deafvideo_1/daniel_lundberg_0965,reactions,48
deafvideo_4/floridaaahh_5725,at,8
Batch5/David_Geeslin-Community_14_0_1,op,12
Batch6/For_Pearlene_Utley_1_0_6,beachbody,31
Batch6/ASL_for_Bacteria_9_0_1,safranin,49
Batch6/1st_part-Intonation_in_2_0_1,prosody,73
youtube_5/storm_smith_6278,or,7
Batch6/ASL_for_Bacteria_8_0_1,binary,14
youtube_5/david_o._reynolds_5817,ed,21
Batch4/Disc_Golf_WeekendExperience_11_0_3,disc,30
Batch9/Math_Fantasy_Gender_7_0_5,styles,22
Batch4/Carb_Nets_Examples_8_0_5,tbsp,12
deafvideo_3/kazio63_3502,dvtv,12
Batch4/CAN_DEAF_DRIVE_THRU_6_0_0,up,12
Batch9/Harry_Potter_Tag_7_0_3,hp,13
Batch5/David_Geeslin-Community_14_0_0,op,9
youtube_5/david_o._reynolds_5797,ed,12
Batch6/For_Pearlene_Utley_10_0_6,coconut,38
Batch4/Disc_Golf_WeekendExperience_4_0_6,park,21
Batch6/AFA_Mission_LSL_Rally_2_0_3,co,20
Batch7/Sepsis_10_0_6,sepsis,29
Batch9/Fingerspelling-ASL_Ponderings_1_0_4,even if,58
Batch7/Sepsis_2_0_1,toxin,62
Batch4/Carb_Nets_Examples_2_0_5,dietary fiber,88
deafvideo_5/turnyourbrainon_7131,wow,33
Batch6/AFA_Rally_2011_4_0_2,th th july,39
Batch4/Carb_Nets_Examples_5_0_2,coconut oil,49
Batch6/1st_part-Intonation_in_9_0_0,asl,10
Batch6/ASL_for_Bacteria_6_0_3,binary fission,85
youtube_5/david_o._reynolds_5806,of,5
deafvideo_4/deafvideotv_5013,ehicity,30
Batch4/Carb_Nets_Examples_18_0_1,rice,13
Batch9/Coffee_Chat_1_0_0,asl,13
Batch4/Carb_Nets_Examples_10_0_3,oz of,19
Batch4/Carb_Nets_Examples_1_0_0,grams,43
